case_id,year,court,case_type,bail_amount_inr,days_to_bail_order
59,2021,District Court - Central,Theft,27000,4
60,2021,District Court - North,Cheating,37500,33
61,2021,District Court - South,Theft,7300,33
62,2021,District Court - West,Theft,13000,29
63,2021,District Court - South,Public Nuisance,37700,12
64,2021,District Court - South,Cyber Offence,23300,13
65,2021,District Court - South,Theft,12300,30
66,2021,District Court - West,Assault,59800,20
67,2021,District Court - South,Assault,17700,28
68,2021,District Court - North,Cheating,65900,32
69,2021,District Court - South,Cheating,17900,18
70,2021,District Court - West,Cyber Offence,10100,29
71,2021,District Court - South,Cheating,7000,41
72,2021,District Court - West,NDPS,43500,4
73,2021,District Court - North,Cyber Offence,5900,26
74,2021,District Court - East,Domestic Dispute,14700,40
75,2021,District Court - North,Cheating,28400,27
76,2021,District Court - West,Cheating,33800,21
77,2021,District Court - West,Public Nuisance,18700,30
78,2021,District Court - South,Theft,13400,36
79,2021,District Court - North,Public Nuisance,17700,1
80,2021,District Court - North,Cheating,8500,14
81,2021,District Court - North,Theft,65200,3
82,2021,District Court - West,Theft,31200,38
83,2021,District Court - Central,Domestic Dispute,40900,18
84,2021,District Court - North,Cyber Offence,40300,26
85,2021,District Court - South,Domestic Dispute,8000,39
86,2021,District Court - Central,Assault,16900,33
87,2021,District Court - North,Public Nuisance,14100,28
88,2021,District Court - North,Cyber Offence,14300,24
89,2021,District Court - North,Public Nuisance,13400,22
90,2021,District Court - East,Theft,5800,3
91,2021,District Court - West,Cyber Offence,14500,18
92,2021,District Court - East,Domestic Dispute,61800,28
93,2021,District Court - North,Cyber Offence,37400,7
94,2021,District Court - Central,Domestic Dispute,13700,7
95,2021,District Court - Central,Cheating,44100,34
96,2021,District Court - North,Assault,98600,19
97,2021,District Court - Central,Cheating,27200,18
98,2021,District Court - West,NDPS,31200,32
99,2021,District Court - Central,Cyber Offence,27200,14
100,2021,District Court - East,NDPS,25900,2
101,2021,District Court - North,Assault,25000,23
102,2021,District Court - East,NDPS,26400,8
103,2021,District Court - Central,Cheating,9800,2
104,2021,District Court - North,NDPS,22800,44
105,2021,District Court - North,Theft,11800,40
106,2021,District Court - West,Public Nuisance,5200,37
107,2021,District Court - Central,Assault,18700,2
108,2021,District Court - Central,Assault,10700,37
109,2021,District Court - North,Cyber Offence,22800,35
110,2021,District Court - Central,Domestic Dispute,4700,30
111,2021,District Court - East,Theft,20900,15
112,2021,District Court - North,Public Nuisance,10000,27
113,2021,District Court - Central,Cyber Offence,8100,38
114,2021,District Court - North,Cheating,13700,32
115,2021,District Court - East,NDPS,10100,19
116,2021,District Court - East,Assault,20100,25
117,2021,District Court - East,Assault,6800,17
118,2021,District Court - North,Cyber Offence,3800,38
119,2021,District Court - East,Cyber Offence,11200,1
120,2021,District Court - North,Theft,20900,7
121,2021,District Court - Central,Public Nuisance,27300,43
122,2021,District Court - East,Theft,5900,32
123,2021,District Court - South,Domestic Dispute,16800,40
124,2021,District Court - East,Domestic Dispute,12200,42
125,2021,District Court - East,Assault,13800,9
126,2021,District Court - South,Assault,64500,35
127,2021,District Court - South,Assault,17100,43
128,2021,District Court - Central,NDPS,31700,5
129,2021,District Court - West,Domestic Dispute,15600,28
130,2021,District Court - West,NDPS,28000,32
131,2021,District Court - East,Domestic Dispute,7300,19
132,2021,District Court - West,NDPS,11200,15
133,2021,District Court - North,NDPS,25200,16
134,2021,District Court - North,Domestic Dispute,13300,26
135,2021,District Court - North,Public Nuisance,12200,27
136,2021,District Court - North,NDPS,12400,21
137,2021,District Court - West,Assault,7400,40
138,2021,District Court - South,Theft,14200,13
139,2021,District Court - South,NDPS,19200,5
140,2021,District Court - South,NDPS,79900,18
141,2021,District Court - South,Theft,31400,37
142,2021,District Court - Central,Domestic Dispute,21800,14
143,2021,District Court - Central,Theft,11300,25
144,2021,District Court - South,Public Nuisance,25100,30
145,2021,District Court - South,Cyber Offence,21500,42
146,2021,District Court - Central,Assault,2800,36
147,2021,District Court - North,Public Nuisance,18600,6
148,2021,District Court - South,Assault,9100,32
149,2021,District Court - South,Assault,12300,34
150,2021,District Court - East,Cyber Offence,23400,24
151,2021,District Court - South,Theft,6600,2
152,2021,District Court - East,Cyber Offence,17300,12
153,2021,District Court - North,NDPS,13300,10
154,2021,District Court - North,Theft,5700,3
155,2021,District Court - East,NDPS,3600,19
156,2021,District Court - South,Domestic Dispute,12700,1
157,2021,District Court - South,Domestic Dispute,9500,37
158,2021,District Court - East,Public Nuisance,96600,10
159,2021,District Court - South,NDPS,11400,20
160,2021,District Court - West,Cyber Offence,34300,38
161,2021,District Court - South,Domestic Dispute,42500,9
162,2021,District Court - East,NDPS,25800,23
163,2021,District Court - South,Public Nuisance,9800,43
164,2021,District Court - Central,Public Nuisance,16200,28
165,2021,District Court - North,Theft,15300,14
166,2021,District Court - Central,Cyber Offence,29900,5
167,2021,District Court - East,Assault,11200,12
168,2021,District Court - Central,Theft,10200,33
169,2021,District Court - South,Public Nuisance,13900,31
170,2021,District Court - West,Cheating,15500,22
171,2021,District Court - North,Theft,33400,34
172,2021,District Court - East,Cheating,7600,12
173,2021,District Court - North,Cyber Offence,39000,35
174,2021,District Court - East,Cheating,18500,20
175,2021,District Court - Central,Domestic Dispute,22200,18
176,2021,District Court - North,Cheating,12200,8
177,2021,District Court - Central,Domestic Dispute,9600,38
178,2021,District Court - East,Theft,27900,3
179,2021,District Court - West,Theft,6600,25
180,2021,District Court - North,Assault,76100,2
181,2021,District Court - East,NDPS,10000,39
182,2021,District Court - South,Domestic Dispute,21900,12
183,2021,District Court - West,Assault,12300,34
184,2021,District Court - East,Cheating,9200,41
185,2021,District Court - East,Public Nuisance,23800,43
186,2021,District Court - South,Theft,20400,11
187,2021,District Court - Central,Public Nuisance,13500,21
188,2021,District Court - North,Cheating,10500,10
189,2021,District Court - North,Theft,10200,34
190,2021,District Court - North,NDPS,24800,34
191,2021,District Court - North,Domestic Dispute,22400,39
192,2021,District Court - Central,Cyber Offence,6500,31
193,2021,District Court - East,Cyber Offence,25900,45
194,2021,District Court - East,Cyber Offence,13300,29
195,2021,District Court - Central,Cyber Offence,29400,35
196,2021,District Court - West,Assault,5900,38
197,2021,District Court - South,Public Nuisance,5000,41
198,2021,District Court - South,Cyber Offence,12500,33
199,2021,District Court - East,Domestic Dispute,23100,38
200,2021,District Court - West,Assault,7700,17
201,2021,District Court - West,Domestic Dispute,19400,2
202,2021,District Court - Central,Cheating,8400,40
203,2021,District Court - South,Cheating,4300,42
204,2021,District Court - Central,Public Nuisance,36700,18
205,2021,District Court - South,Theft,11600,5
206,2021,District Court - Central,Assault,4500,29
207,2021,District Court - South,Assault,14800,45
208,2021,District Court - South,NDPS,8200,10
209,2021,District Court - East,Cyber Offence,7000,15
210,2021,District Court - South,Cheating,40500,29
211,2021,District Court - East,Domestic Dispute,24500,25
212,2021,District Court - East,Cheating,40900,40
213,2021,District Court - North,Cyber Offence,20100,11
214,2021,District Court - North,Public Nuisance,7400,18
215,2021,District Court - West,NDPS,13100,22
216,2021,District Court - West,Cheating,55200,26
217,2021,District Court - South,Assault,13300,30
218,2021,District Court - East,Assault,30900,15
219,2021,District Court - South,Theft,12100,35
220,2021,District Court - South,Domestic Dispute,9200,34
221,2021,District Court - West,Public Nuisance,13700,21
222,2021,District Court - North,NDPS,23100,30
223,2021,District Court - North,Cheating,9900,10
224,2021,District Court - East,Assault,8000,20
225,2021,District Court - North,Cyber Offence,21500,30
226,2021,District Court - South,Assault,53300,22
227,2021,District Court - South,Public Nuisance,5700,41
228,2021,District Court - East,NDPS,20600,42
229,2021,District Court - West,NDPS,10400,24
230,2021,District Court - South,NDPS,37600,37
231,2021,District Court - East,Cyber Offence,12300,42
232,2021,District Court - East,Theft,13000,39
233,2021,District Court - South,Domestic Dispute,15300,9
234,2021,District Court - West,Public Nuisance,44300,8
235,2021,District Court - South,Theft,23800,10
236,2021,District Court - North,Assault,19600,33
237,2021,District Court - Central,Cyber Offence,12300,10
238,2021,District Court - Central,Theft,19500,30
239,2021,District Court - North,Theft,8300,22
240,2021,District Court - East,Public Nuisance,13700,29
241,2021,District Court - South,Theft,6300,7
242,2021,District Court - South,Theft,11900,8
243,2021,District Court - Central,Assault,12600,34
244,2021,District Court - Central,Cyber Offence,19600,22
245,2021,District Court - South,Domestic Dispute,44100,3
246,2021,District Court - North,Cyber Offence,16700,40
247,2021,District Court - Central,Assault,11600,30
248,2021,District Court - South,Cheating,25800,12
249,2021,District Court - Central,Cheating,35200,27
250,2021,District Court - South,Theft,12900,29
251,2021,District Court - Central,Cyber Offence,18700,12
252,2021,District Court - South,Cheating,13000,29
253,2021,District Court - West,NDPS,37800,10
254,2021,District Court - Central,Cheating,34300,5
255,2021,District Court - North,Cheating,11300,7
256,2021,District Court - North,Cyber Offence,12400,24
257,2021,District Court - South,Public Nuisance,30200,23
258,2021,District Court - East,Cheating,10700,5
259,2021,District Court - West,Theft,20400,37
260,2021,District Court - West,Public Nuisance,6400,23
261,2021,District Court - Central,Cheating,48000,31
262,2021,District Court - South,Theft,12100,41
263,2021,District Court - South,Public Nuisance,35100,26
264,2021,District Court - Central,Theft,44200,10
265,2021,District Court - West,Cyber Offence,25700,10
266,2021,District Court - West,Cyber Offence,65100,1
267,2021,District Court - West,Public Nuisance,15400,18
268,2021,District Court - South,Cheating,6200,39
269,2021,District Court - Central,Assault,18000,15
270,2021,District Court - North,Assault,19300,7
271,2021,District Court - Central,Assault,29700,14
272,2021,District Court - South,Domestic Dispute,15200,31
273,2021,District Court - East,Theft,29100,32
274,2021,District Court - West,Assault,12400,27
275,2021,District Court - East,NDPS,22900,37
276,2021,District Court - North,Assault,11900,25
277,2021,District Court - South,Assault,29300,14
278,2021,District Court - North,Cheating,13500,3
279,2021,District Court - East,Assault,22700,4
280,2021,District Court - North,NDPS,15000,10
281,2021,District Court - East,NDPS,49700,31
282,2021,District Court - West,Theft,17900,4
283,2021,District Court - East,NDPS,13300,45
284,2021,District Court - South,Public Nuisance,11600,4
285,2021,District Court - East,Cheating,8200,40
286,2021,District Court - North,Domestic Dispute,17200,5
287,2021,District Court - East,NDPS,26700,11
288,2021,District Court - West,Domestic Dispute,5700,33
289,2021,District Court - West,Assault,8800,16
290,2021,District Court - Central,Theft,26600,25
291,2021,District Court - North,Public Nuisance,24300,18
292,2021,District Court - East,NDPS,10600,5
293,2021,District Court - Central,Assault,20600,45
294,2021,District Court - South,Cyber Offence,18600,10
295,2021,District Court - West,Public Nuisance,40700,27
296,2021,District Court - North,Theft,14600,3
297,2021,District Court - South,Public Nuisance,20000,16
298,2021,District Court - West,Public Nuisance,5700,1
299,2021,District Court - West,Assault,16200,29
300,2021,District Court - South,Theft,10200,30
301,2021,District Court - East,Cheating,13900,29
302,2021,District Court - West,Cyber Offence,7800,27
303,2021,District Court - North,Domestic Dispute,7900,38
304,2021,District Court - North,Domestic Dispute,23700,6
305,2021,District Court - North,Cheating,11300,39
306,2021,District Court - East,Cyber Offence,12500,22
307,2021,District Court - East,NDPS,38300,13
308,2021,District Court - East,Cyber Offence,3100,25
309,2021,District Court - West,Cyber Offence,44100,14
310,2021,District Court - Central,Theft,9100,1
311,2021,District Court - West,Theft,7300,9
312,2021,District Court - West,Assault,6400,7
313,2021,District Court - Central,Domestic Dispute,28800,19
314,2021,District Court - Central,NDPS,20700,1
315,2021,District Court - West,NDPS,31900,23
316,2021,District Court - Central,Theft,28000,4
317,2021,District Court - Central,Theft,12900,8
318,2021,District Court - West,Public Nuisance,7900,17
319,2021,District Court - East,NDPS,19400,43
320,2021,District Court - North,Cheating,31700,42
321,2021,District Court - Central,Assault,23700,32
322,2021,District Court - North,Theft,7300,21
323,2021,District Court - East,Cyber Offence,11900,29
324,2021,District Court - East,Theft,22500,3
325,2021,District Court - South,Domestic Dispute,22000,19
326,2021,District Court - East,Cheating,25300,21
327,2021,District Court - East,NDPS,32200,18
328,2021,District Court - East,Cheating,12600,24
329,2021,District Court - East,Theft,36800,19
330,2021,District Court - East,Cheating,10700,5
331,2021,District Court - South,Public Nuisance,6900,38
332,2021,District Court - West,NDPS,5500,1
333,2021,District Court - North,Cheating,31500,14
334,2021,District Court - East,NDPS,9900,43
335,2021,District Court - West,Cyber Offence,19500,38
336,2021,District Court - East,Cyber Offence,6600,4
337,2021,District Court - West,Domestic Dispute,11500,5
338,2021,District Court - South,NDPS,11200,20
339,2021,District Court - Central,Theft,36500,45
340,2021,District Court - Central,Public Nuisance,30300,29
341,2021,District Court - North,NDPS,13600,39
342,2021,District Court - East,Assault,14700,10
343,2021,District Court - Central,Domestic Dispute,14800,7
344,2021,District Court - North,Cyber Offence,20900,16
345,2021,District Court - North,Assault,61800,31
346,2021,District Court - North,NDPS,17600,14
347,2021,District Court - West,NDPS,9600,17
348,2021,District Court - West,Domestic Dispute,11300,27
349,2021,District Court - South,NDPS,35300,41
350,2021,District Court - South,Cyber Offence,16000,22
351,2021,District Court - South,Public Nuisance,4600,27
352,2021,District Court - North,Domestic Dispute,8000,14
353,2021,District Court - Central,Public Nuisance,21300,9
354,2021,District Court - East,Cheating,19900,43
355,2021,District Court - South,Assault,5700,10
356,2021,District Court - West,Public Nuisance,13100,45
357,2021,District Court - South,Cheating,8100,20
358,2021,District Court - West,NDPS,16800,36
359,2021,District Court - Central,Cheating,14200,36
360,2021,District Court - North,NDPS,11400,18
361,2021,District Court - West,Domestic Dispute,24000,17
362,2021,District Court - West,Domestic Dispute,10400,1
363,2021,District Court - South,Assault,13800,2
364,2021,District Court - West,Assault,20600,14
365,2021,District Court - East,Cheating,44400,31
366,2021,District Court - Central,Assault,3800,2
367,2021,District Court - East,Cheating,12000,4
368,2021,District Court - West,Public Nuisance,31900,36
369,2021,District Court - South,NDPS,19300,26
370,2021,District Court - East,NDPS,13800,20
371,2021,District Court - East,Cheating,12300,15
372,2021,District Court - East,Assault,33100,17
373,2021,District Court - East,Theft,23600,4
374,2021,District Court - Central,Domestic Dispute,11900,5
375,2021,District Court - South,Theft,13400,44
376,2021,District Court - Central,Assault,15900,5
377,2021,District Court - East,Assault,11600,24
378,2021,District Court - West,Cheating,19900,8
379,2021,District Court - Central,Public Nuisance,13100,26
380,2021,District Court - South,NDPS,30300,29
381,2021,District Court - West,Cheating,7700,14
382,2021,District Court - West,Assault,5000,45
383,2021,District Court - West,Theft,10800,45
384,2021,District Court - South,Cheating,16300,24
385,2021,District Court - North,Theft,12900,36
386,2021,District Court - South,Theft,15200,26
387,2021,District Court - East,NDPS,18500,31
388,2021,District Court - North,Theft,17400,25
389,2021,District Court - Central,Domestic Dispute,12100,37
390,2021,District Court - West,NDPS,14900,39
391,2021,District Court - West,Cyber Offence,13300,43
392,2021,District Court - Central,Public Nuisance,10800,15
393,2021,District Court - East,Cyber Offence,30000,25
394,2021,District Court - West,Cheating,15200,34
395,2021,District Court - South,Cyber Offence,73500,17
396,2021,District Court - West,NDPS,21500,10
397,2021,District Court - South,Cheating,8900,42
398,2021,District Court - West,NDPS,12100,16
399,2021,District Court - North,Theft,19900,21
400,2021,District Court - Central,Assault,8000,22
401,2021,District Court - Central,Cyber Offence,12900,42
402,2021,District Court - Central,NDPS,18000,27
403,2021,District Court - West,Domestic Dispute,56400,33
404,2021,District Court - Central,NDPS,86900,42
405,2021,District Court - South,Cyber Offence,6100,13
406,2021,District Court - South,Cyber Offence,18800,42
407,2021,District Court - Central,Cheating,12700,20
408,2021,District Court - West,Domestic Dispute,14700,18
409,2021,District Court - Central,Assault,21400,4
410,2021,District Court - Central,Cheating,4600,14
411,2021,District Court - North,Assault,5100,41
412,2021,District Court - North,Domestic Dispute,25000,34
413,2021,District Court - West,Cheating,17400,41
414,2021,District Court - North,NDPS,28800,32
415,2021,District Court - East,Cyber Offence,21800,38
416,2021,District Court - North,Assault,28600,39
417,2021,District Court - East,Theft,16400,24
418,2021,District Court - West,Cyber Offence,64400,17
419,2021,District Court - Central,Cyber Offence,9600,41
420,2021,District Court - East,Public Nuisance,52400,19
421,2021,District Court - South,Assault,38900,18
422,2021,District Court - East,Public Nuisance,7300,40
423,2021,District Court - North,NDPS,28700,12
424,2021,District Court - West,Assault,14900,11
425,2021,District Court - West,Public Nuisance,45600,7
426,2021,District Court - West,Assault,21800,16
427,2021,District Court - North,Cyber Offence,21900,14
428,2021,District Court - Central,Domestic Dispute,38400,40
429,2021,District Court - East,Cyber Offence,21100,35
430,2021,District Court - North,Cyber Offence,16200,9
431,2021,District Court - South,Theft,47900,45
432,2021,District Court - West,NDPS,7500,23
433,2021,District Court - East,Theft,53000,2
434,2021,District Court - West,Cheating,9700,27
435,2021,District Court - Central,Cyber Offence,17300,40
436,2021,District Court - West,Public Nuisance,18600,28
437,2021,District Court - Central,Domestic Dispute,3400,15
438,2021,District Court - Central,NDPS,13100,22
439,2021,District Court - South,Cheating,6200,10
440,2021,District Court - South,Domestic Dispute,13500,16
441,2021,District Court - East,Domestic Dispute,12900,42
442,2021,District Court - East,Cheating,4300,14
443,2021,District Court - East,Public Nuisance,13700,23
444,2021,District Court - East,Public Nuisance,32200,1
445,2021,District Court - North,Public Nuisance,46500,27
446,2021,District Court - Central,Cheating,10800,27
447,2021,District Court - West,Cyber Offence,14800,5
448,2021,District Court - Central,Assault,13400,39
449,2021,District Court - North,Cheating,4200,30
450,2021,District Court - North,Assault,23100,43
451,2021,District Court - North,Public Nuisance,18100,19
452,2021,District Court - South,Domestic Dispute,9800,4
453,2021,District Court - East,Cheating,7000,6
454,2021,District Court - West,Cheating,4300,18
455,2021,District Court - South,Assault,15900,9
456,2021,District Court - Central,Theft,26800,5
457,2021,District Court - East,Domestic Dispute,21900,3
458,2021,District Court - South,NDPS,41200,33
459,2021,District Court - Central,Domestic Dispute,11900,8
460,2021,District Court - South,Theft,22100,12
461,2021,District Court - South,Cyber Offence,40000,23
462,2021,District Court - West,Theft,3500,24
463,2021,District Court - North,Domestic Dispute,19100,12
464,2021,District Court - West,Assault,26700,42
465,2021,District Court - East,Cyber Offence,17900,3
466,2021,District Court - North,Public Nuisance,16600,20
467,2021,District Court - East,Public Nuisance,15000,40
468,2021,District Court - North,Theft,11500,38
469,2021,District Court - West,Assault,55100,31
470,2021,District Court - East,Public Nuisance,16300,14
471,2021,District Court - South,Public Nuisance,13100,16
472,2021,District Court - East,Theft,13400,41
473,2021,District Court - Central,Cyber Offence,23800,20
474,2021,District Court - West,Assault,9100,42
475,2021,District Court - North,Domestic Dispute,20400,23
476,2021,District Court - South,Theft,10400,11
477,2021,District Court - East,Cyber Offence,25900,2
478,2021,District Court - West,Cyber Offence,42200,14
479,2021,District Court - North,Theft,58800,10
480,2021,District Court - North,Public Nuisance,17200,6
481,2021,District Court - West,Public Nuisance,15600,18
482,2021,District Court - North,Domestic Dispute,5900,26
483,2021,District Court - Central,NDPS,13300,9
484,2021,District Court - East,Assault,11300,32
485,2021,District Court - Central,Domestic Dispute,22000,45
486,2021,District Court - North,NDPS,13300,25
487,2021,District Court - South,Public Nuisance,9000,30
488,2021,District Court - Central,Domestic Dispute,57200,2
489,2021,District Court - East,Cheating,7400,36
490,2021,District Court - Central,Public Nuisance,17700,24
491,2021,District Court - East,Cyber Offence,8400,8
492,2021,District Court - North,Assault,17700,44
493,2021,District Court - West,NDPS,18800,5
494,2021,District Court - West,Domestic Dispute,14800,43
495,2021,District Court - West,NDPS,37900,8
496,2021,District Court - North,Public Nuisance,15600,43
497,2021,District Court - North,Theft,22700,19
498,2021,District Court - North,NDPS,10200,43
499,2021,District Court - North,Public Nuisance,53100,28
500,2021,District Court - South,Assault,18500,25
501,2021,District Court - Central,Public Nuisance,29600,1
502,2021,District Court - North,NDPS,22500,43
503,2021,District Court - West,Assault,31300,37
504,2021,District Court - East,Assault,39200,39
505,2021,District Court - South,Cyber Offence,13700,4
506,2021,District Court - West,Assault,7200,15
507,2021,District Court - West,Public Nuisance,23500,25
508,2021,District Court - South,Domestic Dispute,7700,44
509,2021,District Court - North,Assault,31500,15
510,2021,District Court - West,Cyber Offence,12400,44
511,2021,District Court - West,Assault,14300,37
512,2021,District Court - South,Theft,15800,12
513,2021,District Court - Central,Cyber Offence,13900,38
514,2021,District Court - North,NDPS,8900,22
515,2021,District Court - South,Assault,26000,38
516,2021,District Court - Central,Theft,13400,31
517,2021,District Court - East,Cheating,34000,30
518,2021,District Court - Central,NDPS,24900,26
519,2021,District Court - Central,Public Nuisance,12600,15
520,2021,District Court - Central,Domestic Dispute,19500,17
521,2021,District Court - South,Domestic Dispute,10200,24
522,2021,District Court - Central,Assault,10500,18
523,2021,District Court - East,NDPS,16800,16
524,2021,District Court - West,Cheating,37200,15
525,2021,District Court - East,Assault,9200,24
526,2021,District Court - West,Public Nuisance,30500,15
527,2021,District Court - Central,Theft,6100,38
528,2021,District Court - North,Public Nuisance,16000,16
529,2021,District Court - West,Domestic Dispute,17300,8
530,2021,District Court - East,NDPS,23000,19
531,2021,District Court - Central,Domestic Dispute,15000,4
532,2021,District Court - South,Cyber Offence,15100,7
533,2021,District Court - Central,Public Nuisance,29700,31
534,2021,District Court - North,Assault,12900,13
535,2021,District Court - Central,NDPS,11700,4
536,2021,District Court - Central,Cyber Offence,27300,6
537,2021,District Court - East,Domestic Dispute,20200,36
538,2021,District Court - West,NDPS,56200,43
539,2021,District Court - West,Cyber Offence,8900,13
540,2021,District Court - West,Cyber Offence,21100,9
541,2021,District Court - Central,Cyber Offence,14200,44
542,2021,District Court - West,Cheating,13000,28
543,2021,District Court - North,Cheating,19100,40
544,2021,District Court - Central,Domestic Dispute,14700,37
545,2021,District Court - Central,Public Nuisance,27600,19
546,2021,District Court - East,NDPS,24300,30
547,2021,District Court - Central,Theft,6600,14
548,2021,District Court - West,Domestic Dispute,18200,12
549,2021,District Court - South,Public Nuisance,18900,29
550,2021,District Court - North,Theft,4900,9
551,2021,District Court - South,NDPS,6500,37
552,2021,District Court - South,Assault,8000,13
553,2021,District Court - West,Domestic Dispute,3600,36
554,2021,District Court - West,NDPS,16500,12
555,2021,District Court - East,Domestic Dispute,20400,43
556,2021,District Court - North,Public Nuisance,14700,37
557,2021,District Court - Central,NDPS,21200,19
558,2021,District Court - Central,Assault,7100,11
559,2021,District Court - East,NDPS,5600,6
560,2021,District Court - West,NDPS,6300,14
561,2021,District Court - Central,Theft,8400,4
562,2021,District Court - Central,Public Nuisance,26400,14
563,2021,District Court - North,Cheating,24400,38
564,2021,District Court - Central,Cheating,16000,30
565,2021,District Court - North,Theft,5800,30
566,2021,District Court - Central,Public Nuisance,33100,6
567,2021,District Court - Central,Cyber Offence,17100,43
568,2021,District Court - Central,Assault,5800,28
569,2021,District Court - Central,Cheating,53800,3
570,2021,District Court - Central,NDPS,6100,21
571,2021,District Court - West,Assault,10600,11
572,2021,District Court - South,Assault,5300,5
573,2021,District Court - East,Theft,24400,39
574,2021,District Court - North,Domestic Dispute,5700,6
575,2021,District Court - North,Cheating,39200,41
576,2021,District Court - Central,Cheating,17900,1
577,2021,District Court - North,Theft,10000,5
578,2021,District Court - West,Public Nuisance,42800,41
579,2021,District Court - South,Cheating,34000,20
580,2021,District Court - South,Assault,16600,25
581,2021,District Court - West,Assault,13500,10
582,2021,District Court - West,Assault,12200,15
583,2021,District Court - West,Cyber Offence,34400,37
584,2021,District Court - North,Theft,24900,24
585,2021,District Court - North,Theft,7700,42
586,2021,District Court - West,Domestic Dispute,11600,41
587,2021,District Court - South,Cyber Offence,10900,39
588,2021,District Court - East,Cheating,12500,2
589,2021,District Court - South,Assault,5800,4
590,2021,District Court - North,NDPS,35000,20
591,2021,District Court - West,Domestic Dispute,55900,38
592,2021,District Court - East,Domestic Dispute,7300,21
593,2021,District Court - West,Cyber Offence,33500,45
594,2021,District Court - West,Public Nuisance,6500,21
595,2021,District Court - East,Domestic Dispute,24200,9
596,2021,District Court - Central,Domestic Dispute,9500,22
597,2021,District Court - West,Domestic Dispute,12900,11
598,2021,District Court - West,NDPS,25000,1
599,2021,District Court - North,Domestic Dispute,16900,29
600,2021,District Court - South,Public Nuisance,31900,3
601,2021,District Court - East,Cheating,107400,18
602,2021,District Court - South,Public Nuisance,13100,18
603,2021,District Court - West,Domestic Dispute,30900,43
604,2021,District Court - Central,Cheating,15900,8
605,2021,District Court - West,Cyber Offence,17100,23
606,2021,District Court - East,Cyber Offence,14200,37
607,2021,District Court - East,Domestic Dispute,20600,28
608,2021,District Court - West,Domestic Dispute,21900,28
609,2021,District Court - North,NDPS,15300,7
610,2021,District Court - Central,Cheating,5600,20
611,2021,District Court - North,Assault,21700,30
612,2021,District Court - West,NDPS,23300,22
613,2021,District Court - South,Assault,7300,33
614,2021,District Court - Central,Public Nuisance,16200,1
615,2021,District Court - South,Domestic Dispute,6000,5
616,2021,District Court - North,Public Nuisance,20000,44
617,2021,District Court - East,Assault,10400,21
618,2021,District Court - East,Theft,18100,32
619,2021,District Court - East,Public Nuisance,21500,21
620,2021,District Court - East,Public Nuisance,8300,6
621,2021,District Court - South,NDPS,38000,45
622,2021,District Court - West,Assault,7600,19
623,2021,District Court - East,Theft,33200,41
624,2021,District Court - North,Theft,19800,38
625,2021,District Court - East,NDPS,10000,29
