Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
283,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Illiterate,3 or 4,2,Daily Worker,Improved,Will Improve,Improved,Remain The Same,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,>=16%,40,>=16%,50,No
311,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,4,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Worsen,Improved,Will Worsen,Decreased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Decreased,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,3-<4%,,Yes
366,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,10th Std - Below 12th Std,5 and more,1,"Others (Incl. Unemployed, students, etc.)",Improved,Remain The Same,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,2-<3%,,3-<4%,,No
393,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Illiterate,3 or 4,1,Daily Worker,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,5-<6%,,No
839,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,8-<9%,,Yes
840,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Less than Rs. 5 thousand,Illiterate,1 or 2,1,Homemaker,Worsened,Will Worsen,Remained The Same,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Decrease,Increased,Will Decrease,Decreased,Remain The Same,Remained The Same,Will Decrease,,,<1%,,<1%,,No
841,23,May-2026,Andhra Pradesh,60 years and above,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,2,Homemaker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Decrease,Remained The Same,Will Increase,Remained The Same,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,No
842,23,May-2026,Andhra Pradesh,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Illiterate,1 or 2,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Remain The Same,Improved,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
843,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Worsened,Remain The Same,Decreased,Remain The Same,Decreased,Remain The Same,Decreased,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,11-<12%,,No
844,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
845,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Improved,Remain The Same,Improved,Will Improve,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,11-<12%,,No
846,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Worsened,Will Improve,Worsened,Will Worsen,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Decrease,Price Increased More Than Last Year,,>=16%,18,<1%,,No
847,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Less than Rs. 5 thousand,10th Std - Below 12th Std,3 or 4,2,Self Employed,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Decreased,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,1-<2%,,No
848,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,2-<3%,,3-<4%,,No
849,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
850,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Daily Worker,Remained The Same,Will Worsen,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,>=16%,20,>=16%,20,Yes
851,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Remained The Same,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
852,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,3,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,3-<4%,,4-<5%,,Yes
853,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,2,Daily Worker,Remained The Same,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Remain The Same,Increased,Will Decrease,Price Increased Similar To Last Year,,5-<6%,,<1%,,No
2748,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,1 or 2,1,Salaried Employee,Worsened,Remain The Same,Remained The Same,Will Improve,Decreased,Will Increase,Decreased,Will Decrease,Decreased,Remain The Same,Decreased,Will Decrease,Increased,Remain The Same,Price Increased Similar To Last Year,,6-<7%,,<1%,,No
2749,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,5 and more,1,Salaried Employee,Improved,Remain The Same,Improved,Will Improve,Decreased,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,9-<10%,,<1%,,No
2750,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,1 or 2,1,Self Employed,Remained The Same,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Price Increased Similar To Last Year,,1-<2%,,<1%,,No
2751,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,12th Std,5 and more,2,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Improve,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
3234,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,25,>=16%,35,No
3235,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Worsen,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Decrease,Increased,Will Decrease,Increased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,1-<2%,,2-<3%,,Yes
3236,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,1,Daily Worker,Worsened,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,No
3237,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Daily Worker,Remained The Same,Remain The Same,Improved,Will Improve,Decreased,Will Decrease,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,25,No
3238,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Less than Rs. 5 thousand,Illiterate,3 or 4,1,Daily Worker,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Decreased,Will Increase,,Price Increase More Than Current Rate,<1%,,9-<10%,,Yes
3239,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,Yes
3240,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
3241,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,1,Homemaker,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
3242,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,2,Daily Worker,Remained The Same,Remain The Same,Improved,Will Improve,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,10-<11%,,15-<16%,,No
3243,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Decreased,Will Decrease,Increased,Will Increase,Decreased,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,5-<6%,,No
3244,23,May-2026,Andhra Pradesh,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,1 or 2,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,Yes
3245,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,2,Homemaker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,No
3246,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Decreased,Will Decrease,Remained The Same,Will Decrease,Decreased,Will Decrease,Increased,Will Decrease,Price Increased More Than Last Year,,5-<6%,,<1%,,No
3247,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,3 or 4,2,Daily Worker,Worsened,Will Worsen,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,9-<10%,,No
3248,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,5 and more,2,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,35,No
3278,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,Salaried Employee,Worsened,Will Worsen,Worsened,Will Worsen,Increased,Will Increase,Remained The Same,Will Increase,Decreased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,3-<4%,,<1%,,No
3279,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,5 and more,2,Salaried Employee,Improved,Will Improve,Improved,Will Worsen,Increased,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,1-<2%,,1-<2%,,Yes
3280,23,May-2026,Andhra Pradesh,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Illiterate,5 and more,1,Self Employed,Improved,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Price Increased Similar To Last Year,,2-<3%,,<1%,,Yes
3281,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,3 or 4,4,Salaried Employee,Improved,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,No
3863,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,No
3864,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,3,Daily Worker,Remained The Same,Remain The Same,Worsened,Will Improve,Decreased,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,4-<5%,,No
3865,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,Self Employed,Worsened,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Increased,Will Decrease,Price Increased More Than Last Year,,5-<6%,,<1%,,No
3866,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,3-<4%,,No
3867,23,May-2026,Andhra Pradesh,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,1 or 2,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,>=16%,20,No
3868,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,3,Homemaker,Worsened,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,7-<8%,,8-<9%,,No
3869,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,2,Daily Worker,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Increase,Remained The Same,Will Increase,Decreased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,No
3870,23,May-2026,Andhra Pradesh,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,2,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,11-<12%,,No
3871,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Daily Worker,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Decreased,Remain The Same,Decreased,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
3872,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,1 or 2,1,Homemaker,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
3873,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,2,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Decrease,Price Increased More Than Last Year,,6-<7%,,<1%,,No
3874,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,2,Daily Worker,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,No
3875,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,2,Daily Worker,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,4-<5%,,5-<6%,,No
3876,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,8-<9%,,No
